segment_value,transformed_feature,base_feature,importance
Flat,cat__Mouza_Name_Katrapota,Mouza_Name,0.007963057607412338
Flat,"cat__Transaction_Name_[1210] Transfer of lease, Assignment of Lease by Govt./Govt. Authority/Govt. Undertaking/SPV",Transaction_Name,0.007647904101759195
Flat,cat__Mouza_Name_Kanchannagar,Mouza_Name,0.007584157399833202
Flat,num__Is_Property_on_Road_flag,Is_Property_on_Road_flag,0.007510433904826641
Flat,cat__Road_code_0200,Road_code,0.007492685690522194
Flat,cat__Mouza_Name_Kanainatshal,Mouza_Name,0.007315996568650007
Flat,cat__nearest_facility_group_transport,nearest_facility_group,0.0072362832725048065
Flat,cat__Transaction_code_143,Transaction_code,0.007123814430087805
Flat,cat__Transaction_code_125,Transaction_code,0.006948210299015045
Flat,num__registration_year,registration_year,0.00676007242873311
Flat,cat__nearest_road_category_District Road,nearest_road_category,0.0064315483905375
Flat,cat__Mouza_Name_Bamunara,Mouza_Name,0.006136704236268997
Flat,cat__Road_Name_Itbhata Road,Road_Name,0.005978645756840706
Flat,num__Zone_no_target_mean,Zone_no_target_mean,0.005940512288361788
Flat,"cat__Transaction_Name_[0110] Sale, Development Agreement or Construction agreement",Transaction_Name,0.005876166746020317
Flat,"cat__Transaction_Name_[0105] Sale, Sale after registered sale agreement without possession",Transaction_Name,0.005610560532659292
Flat,"cat__Transaction_Name_[0125] Sale, Deed of Assignment after registered Agreement without possession",Transaction_Name,0.005558905191719532
Flat,cat__Transaction_code_124,Transaction_code,0.005504295229911804
Flat,cat__Transaction_code_110,Transaction_code,0.005477100145071745
Flat,cat__Is_Property_on_Road_Y,Is_Property_on_Road,0.005473901983350515
Flat,num__presentation_quarter,presentation_quarter,0.005446401424705982
Flat,cat__Zone_no_5,Zone_no,0.005286507308483124
Flat,num__facility_group_transport_count_1km,facility_group_transport_count_1km,0.005275978706777096
Flat,cat__Road_Name_Missing,Road_Name,0.0051365504041314125
Flat,cat__Transaction_code_105,Transaction_code,0.005110046360641718
Flat,"cat__Transaction_Name_[0204] Gift, Gift in f/o others except family members, Government, Local Body",Transaction_Name,0.005056359805166721
Flat,cat__nearest_road_surface_Metalled,nearest_road_surface,0.004943127743899822
Flat,cat__Mouza_Name_Becharhat,Mouza_Name,0.004920500330626965
Flat,num__presentation_month,presentation_month,0.004757500719279051
Flat,cat__Road_code_0162,Road_code,0.004741351585835218
Flat,cat__GP_JEMUA,GP,0.004631920251995325
Flat,cat__Mouza_Name_Mallikbagan,Mouza_Name,0.004536112304776907
Flat,cat__Road_Name_Baranilpur Road,Road_Name,0.004496186506003141
Flat,cat__Road_Name_Fuljhore Village Road,Road_Name,0.004463423043489456
Flat,cat__Transaction_code_1201,Transaction_code,0.004334844648838043
Flat,num__GP_target_mean,GP_target_mean,0.004301921464502811
Flat,cat__Mouza_Name_infrequent_sklearn,Mouza_Name,0.004187108017504215
Flat,cat__Road_Name_UMR W7,Road_Name,0.004168207757174969
Flat,cat__Mouza_Name_Sankharipukur,Mouza_Name,0.004129506181925535
Flat,cat__Mouza_Name_Goda,Mouza_Name,0.004107606131583452
Flat,num__latitude,latitude,0.004105815198272467
Flat,cat__GP_Missing,GP,0.0040832217782735825
Flat,num__nearest_road_width,nearest_road_width,0.003958940505981445
Flat,cat__Mouza_Name_Jangalpur,Mouza_Name,0.003926932346075773
Flat,num__Urban_flag,Urban_flag,0.003924157470464706
Flat,cat__Is_Property_on_Road_N,Is_Property_on_Road,0.003911452367901802
Flat,cat__GP_BIKIHAKOLA,GP,0.0038196819368749857
Flat,cat__Transaction_code_infrequent_sklearn,Transaction_code,0.003772516967728734
Flat,cat__Road_Name_UMR W11,Road_Name,0.0037694857455790043
Flat,cat__GP_MASHILA,GP,0.00368268764577806
Flat,num__facility_group_religious_tourism_count_1km,facility_group_religious_tourism_count_1km,0.0036734628956764936
Flat,cat__PS_Name_Sankrail,PS_Name,0.003643772564828396
Flat,num__registration_month,registration_month,0.003602744545787573
Flat,cat__PS_Name_New Township,PS_Name,0.0035432535223662853
Flat,"cat__Transaction_Name_[0124] Sale, Agreement for Deed of Assignment without possession",Transaction_Name,0.0034448488149791956
Flat,cat__Mouza_Name_Nari,Mouza_Name,0.0033885648008435965
Flat,cat__Mouza_Name_Sadhanpur,Mouza_Name,0.0033780618105083704
Flat,"cat__Transaction_Name_[0138] Sale, Development Power of Attorney after Registered Development Agreement",Transaction_Name,0.003302840981632471
